Potential,Right Edge,Top Edge,Fluxes
10.0,-0.013371030341659207,-0.012955350721313152,-0.02632638106297236
9.95995995995996,-0.014618069377320353,-0.013613510098366532,-0.028231579475686885
9.91991991991992,-0.014514149508613627,-0.012747510671033524,-0.02726166017964715
9.87987987987988,-0.013578870202763937,-0.012886070748209022,-0.02646494095097296
9.83983983983984,-0.013440310358419083,-0.015137669004616328,-0.02857797936303541
9.7997997997998,-0.014237029659852851,-0.01260895088489633,-0.02684598054474918
9.75975975975976,-0.011431191691372078,-0.01285143072163919,-0.024282622413011268
9.71971971971972,-0.014548789520631544,-0.011465831674286164,-0.02601462119491771
9.67967967967968,-0.014271669679146726,-0.01319783044164069,-0.027469500120787416
9.63963963963964,-0.013717430039832834,-0.014029189806024078,-0.027746619845856912
9.5995995995996,-0.015137669091927819,-0.01586510862398427,-0.03100277771591209
9.55955955955956,-0.015865108493017033,-0.013163190415070858,-0.02902829890808789
9.51951951951952,-0.013786710063868668,-0.013648150161316153,-0.02743486022518482
9.47947947947948,-0.01562262872903375,-0.015414788875204977,-0.031037417604238726
9.43943943943944,-0.0175971072530956,-0.01447950959118316,-0.03207661684427876
9.3993993993994,-0.01711214767419733,-0.016315428176312707,-0.03342757585051004
9.35935935935936,-0.015033749092253856,-0.014479509569355287,-0.029513258661609143
9.31931931931932,-0.015969028470863122,-0.017493187406216748,-0.03346221587707987
9.27927927927928,-0.018601666546601336,-0.015380148826807272,-0.03398181537340861
9.23923923923924,-0.013855989978765137,-0.014964469206461217,-0.028820459185226355
9.1991991991992,-0.015380148819531314,-0.015726548626844306,-0.03110669744637562
9.15915915915916,-0.014202389749698341,-0.016627187927952036,-0.030829577677650377
9.11911911911912,-0.0171121476450935,-0.016765747765020933,-0.033877895410114434
9.07907907907908,-0.01531086894829059,-0.01725070759130176,-0.03256157653959235
9.03903903903904,-0.01641934811050305,-0.016800387937109917,-0.03321973604761297
8.998998998999,-0.016211508293054067,-0.017250707489438355,-0.03346221578249242
8.95895895895896,-0.01697358766978141,-0.01645398805703735,-0.03342757572681876
8.91891891891892,-0.017631747250561602,-0.016280788295262028,-0.03391253554582363
8.87887887887888,-0.016938947825110517,-0.01842846667568665,-0.03536741450079717
8.83883883883884,-0.017527827381854877,-0.01673110789852217,-0.034258935280377045
8.7987987987988,-0.016211508227570448,-0.019017346276086755,-0.0352288545036572
8.75875875875876,-0.018497746634238865,-0.019259826083725784,-0.03775757271796465
8.71871871871872,-0.01749318734073313,-0.01742390742583666,-0.03491709476656979
8.67867867867868,-0.016835027803608682,-0.018428466712066438,-0.03526349451567512
8.63863863863864,-0.01787422706547659,-0.018359186695306562,-0.03623341376078315
8.598598598598599,-0.018012787004408892,-0.01693894778873073,-0.03495173479313962
8.558558558558559,-0.018809506378602237,-0.017250707576749846,-0.03606021395535208
8.518518518518519,-0.018913426356448326,-0.020125825474679004,-0.03903925183112733
8.478478478478479,-0.019259826076449826,-0.019606225854658987,-0.038866051931108814
8.438438438438439,-0.0194676659302786,-0.016453988100693095,-0.035921654030971695
8.398398398398399,-0.0172853474796284,-0.01853238665353274,-0.03581773413316114
8.358358358358359,-0.02085326489759609,-0.020437585291801952,-0.04129085018939804
8.318318318318319,-0.02022974534338573,-0.02016046542848926,-0.04039021077187499
8.278278278278279,-0.020091185462661088,-0.018393826627288945,-0.03848501208995003
8.238238238238239,-0.020749345036165323,-0.019121266188449226,-0.03987061122461455
8.198198198198199,-0.018982706249516923,-0.01787422706547659,-0.03685693331499351
8.158158158158159,-0.020229745357937645,-0.02099182485108031,-0.041221570209017955
8.118118118118119,-0.020333665277576074,-0.02140750451508211,-0.041741169792658184
8.078078078078079,-0.01964086591033265,-0.02147678437177092,-0.04111765028210357
8.038038038038039,-0.01991798559902236,-0.021788544247101527,-0.041706529846123885
7.997997997997999,-0.022966303418797906,-0.021476784437254537,-0.04444308785605244
7.957957957957958,-0.020056545479747,-0.020541505175060593,-0.040598050654807594
7.917917917917918,-0.02251598371367436,-0.022308143918053247,-0.044824127631727606
7.877877877877878,-0.023416623094817623,-0.022827743472589646,-0.04624436656740727
7.837837837837838,-0.023451263070455752,-0.019363746003364213,-0.042815009073819965
7.797797797797798,-0.022793103496951517,-0.02265454363077879,-0.045447647127730306
7.757757757757758,-0.02362446293409448,-0.021892464101256337,-0.04551692703535082
7.717717717717718,-0.0222735038769315,-0.0221695839863969,-0.0444430878633284
7.677677677677678,-0.025148621753032785,-0.021061104780528694,-0.04620972653356148
7.637637637637638,-0.02449046230321983,-0.024178702529752627,-0.048669164832972456
7.597597597597598,-0.024975421962153632,-0.021857824263861403,-0.046833246226015035
7.5575575575575575,-0.023901582731923554,-0.023866942625318188,-0.04776852535724174
7.5175175175175175,-0.021303584609995596,-0.021996384115482215,-0.04329996872547781
7.4774774774774775,-0.022827743450761773,-0.023866942756285425,-0.0466946862070472
7.4374374374374375,-0.021442144439788535,-0.022862383470055647,-0.04430452790984418
7.397397397397397,-0.02546038164291531,-0.024663662239618134,-0.05012404388253344
7.357357357357357,-0.02559894143632846,-0.023693742798059247,-0.04929268423438771
7.317317317317317,-0.02611854095448507,-0.025495021451206412,-0.05161356240569148
7.277277277277277,-0.0258414212075877,-0.024490462281391956,-0.050331883488979656
7.237237237237237,-0.025252541694499087,-0.024871502035239246,-0.05012404372973833
7.197197197197197,-0.024906141916289926,-0.025495021618553437,-0.05040116353484336
7.157157157157157,-0.027365580259356648,-0.027330940174579155,-0.0546965204339358
7.117117117117117,-0.025806781311985105,-0.02570286134869093,-0.051509642660676036
